product_id,product_type,face,,Tipo de producto,Modelo,Color,Forma,Codificación
31183,P-GG-IN-RC,GOOGLE,,Sticker,Google,Blanco,Rectangular,S-GW-XX-RC
31184,P-GG-IN-RC,GOOGLE,,Sticker,Google,Blanco,Redondo,S-GW-XX-RD
31185,P-GG-IN-RC,GOOGLE,,Tarjeta,Google Gris,INFO,Rectangular,P-GG-IN-RC
31186,P-GG-IN-RC,GOOGLE,,Tarjeta,Google Blanco,Instagram,Rectangular,P-GW-IN-RC
31187,P-GG-IN-RC,GOOGLE,,Tarjeta,Google Blanco,Google Diseño,Rectangular,P-GW-GO-RC
31188,P-GG-IN-RC,GOOGLE,,Tarjeta,Google Multicolor,Google Diseño,Rectangular,P-GM-GO-RC
31189,P-GG-IN-RC,GOOGLE,,Stand,Google ,Blanco,Stand,T-GW-XX-RC
31190,P-GG-IN-RC,GOOGLE,,,,,,
31191,P-GG-IN-RC,GOOGLE,,,,,,
31192,P-GG-IN-RC,GOOGLE,,,,,,
31193,P-GG-IN-RC,GOOGLE,,,,,,
31194,P-GG-IN-RC,GOOGLE,,,,,,
31195,P-GG-IN-RC,GOOGLE,,,,,,
31196,P-GG-IN-RC,GOOGLE,,,,,,
31197,P-GG-IN-RC,GOOGLE,,,,,,
31198,P-GG-IN-RC,GOOGLE,,,,,,
31199,P-GG-IN-RC,GOOGLE,,,,,,
31200,P-GG-IN-RC,GOOGLE,,,,,,
31201,P-GG-IN-RC,GOOGLE,,,,,,
31202,P-GG-IN-RC,GOOGLE,,,,,,
31203,P-GG-IN-RC,GOOGLE,,,,,,
31204,P-GG-IN-RC,GOOGLE,,,,,,
31205,P-GG-IN-RC,GOOGLE,,,,,,
31206,P-GG-IN-RC,GOOGLE,,,,,,
31207,P-GG-IN-RC,GOOGLE,,,,,,
31208,P-GG-IN-RC,GOOGLE,,,,,,
31209,P-GG-IN-RC,GOOGLE,,,,,,
31210,P-GG-IN-RC,GOOGLE,,,,,,
